product_name,ingredients
PREVACID NAPRAPAC 250 (COPACKAGED),lansoprazole|naproxen
AGGRENOX,aspirin|dipyridamole
EMBEDA,morphine|naltrexone
TROXYCA ER,naltrexone|oxycodone
ACETAMINOPHEN AND CODEINE PHOSPHATE,acetaminophen|codeine
ACETAMINOPHEN AND HYDROCODONE BITARTRATE,acetaminophen|hydrocodone
"ACETAMINOPHEN, ASPIRIN, AND CODEINE PHOSPHATE",acetaminophen|aspirin|codeine
"ACETAMINOPHEN, CAFFEINE, AND DIHYDROCODEINE BITARTRATE",acetaminophen|caffeine|dihydrocodeine
ADVIL COLD AND SINUS,ibuprofen|pseudoephedrine
ADVIL PM,diphenhydramine|ibuprofen
ANOQUAN,acetaminophen|butalbital|caffeine
BANCAP,acetaminophen|butalbital
"BUTALBITAL, ACETAMINOPHEN, CAFFEINE AND CODEINE PHOSPHATE",acetaminophen|butalbital|caffeine|codeine
"BUTALBITAL, ASPIRIN AND CAFFEINE",aspirin|butalbital|caffeine
"BUTALBITAL, ASPIRIN, CAFFEINE, AND CODEINE PHOSPHATE",aspirin|butalbital|caffeine|codeine
COMPOUND 65,aspirin|caffeine|propoxyphene
DARVON W/ ASA,aspirin|propoxyphene
OXYCODONE AND ACETAMINOPHEN,acetaminophen|oxycodone
SYNALGOS-DC,aspirin|caffeine|dihydrocodeine
BUNAVAIL,buprenorphine|naloxone
ZYNRELEF KIT,bupivacaine|meloxicam
KETOROLAC TROMETHAMINE AND PHENYLEPHRINE HYDROCHLORIDE,ketorolac|phenylephrine
FLOWTUSS,guaifenesin|hydrocodone
HYCOFENIX,guaifenesin|hydrocodone|pseudoephedrine
HYDROCODONE BITARTRATE AND CHLORPHENIRAMINE MALEATE,chlorpheniramine|hydrocodone
HYDROCODONE BITARTRATE AND PSEUDOEPHEDRINE HYDROCHLORIDE,hydrocodone|pseudoephedrine
"HYDROCODONE BITARTRATE, CHLORPHENIRAMINE MALEATE AND PSEUDOEPHEDRINE HYDROCHLORIDE",chlorpheniramine|hydrocodone|pseudoephedrine
CAFERGOT,caffeine|ergotamine
CHILDREN'S ADVIL ALLERGY SINUS,chlorpheniramine|ibuprofen|pseudoephedrine
ACTIFED W/ CODEINE,codeine|pseudoephedrine|triprolidine
AMBENYL,codeine|diphenhydramine
HYCODAN,homatropine|hydrocodone
PHENERGAN VC W/ CODEINE,codeine|phenylephrine|promethazine
PHENERGAN W/ CODEINE,codeine|promethazine
ARTHROTEC,diclofenac|misoprostol
NAPROXEN AND ESOMEPRAZOLE MAGNESIUM,esomeprazole|naproxen
YOSPRALA,aspirin|omeprazole
ALEVE-D SINUS & COLD,naproxen|pseudoephedrine
MUCINEX 12HR COLD & FEVER MULTI-SYMPTOM,guaifenesin|naproxen
TARGINIQ,naloxone|oxycodone
TUXARIN ER,chlorpheniramine|codeine
ACETAMINOPHEN AND IBUPROFEN,acetaminophen|ibuprofen
ACETAMINOPHEN AND PENTAZOCINE HYDROCHLORIDE,acetaminophen|pentazocine
"ACETAMINOPHEN, ASPIRIN AND CAFFEINE",acetaminophen|aspirin|caffeine
ADVIL ALLERGY AND CONGESTION RELIEF,chlorpheniramine|ibuprofen|phenylephrine
ADVIL CONGESTION RELIEF,ibuprofen|phenylephrine
ALEVE PM,diphenhydramine|naproxen
APADAZ,acetaminophen|benzhydrocodone
AXOTAL,aspirin|butalbital
AZDONE,aspirin|hydrocodone
CARISOPRODOL AND ASPIRIN,aspirin|carisoprodol
"CARISOPRODOL, ASPIRIN AND CODEINE PHOSPHATE",aspirin|carisoprodol|codeine
CODOXY,aspirin|oxycodone
COMBUNOX,ibuprofen|oxycodone
DARVOCET,acetaminophen|propoxyphene
DUEXIS,famotidine|ibuprofen
EQUAGESIC,aspirin|meprobamate
HYDROCODONE,hydrocodone|ibuprofen
INVAGESIC,aspirin|caffeine|orphenadrine
METHOCARBAMOL AND ASPIRIN,aspirin|methocarbamol
SEGLENTIS,celecoxib|tramadol
SUMATRIPTAN AND NAPROXEN SODIUM,naproxen|sumatriptan
TALWIN COMPOUND,aspirin|pentazocine
TAVIST ALLERGY/SINUS/HEADACHE,acetaminophen|pseudoephedrine
TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,acetaminophen|tramadol
